"Permutation","Count"
"BSEffectShaderProperty|Default|SPF1=3758096504|SPF2=1073741872","11"
"BSEffectShaderProperty|Default|SPF1=2684354624|SPF2=Effect_Lighting","11"
"BSEffectShaderProperty|Default|SPF1=2684354626|SPF2=1073742000","11"
"BSEffectShaderProperty|Default|SPF1=3221225488|SPF2=0","11"
"BSLightingShaderProperty|Default|SPF1=2353005320|SPF2=41","11"
"BSEffectShaderProperty|Default|SPF1=2684354690|SPF2=1073741952","11"
"BSEffectShaderProperty|Default|SPF1=2147483762|SPF2=33","10"
"BSEffectShaderProperty|Default|SPF1=2147483696|SPF2=0","10"
"BSLightingShaderProperty|Default|SPF1=2151678483|SPF2=177","10"
"BSEffectShaderProperty|Default|SPF1=2684354624|SPF2=1073741840","10"
"BSEffectShaderProperty|Default|SPF1=3221225552|SPF2=Vertex_Colors","10"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2151678595|SPF2=49","10"
"BSEffectShaderProperty|Default|SPF1=2684354578|SPF2=1073741984","10"
"BSEffectShaderProperty|Default|SPF1=2684354720|SPF2=1073741872","10"
"BSEffectShaderProperty|Default|SPF1=3221225568|SPF2=48","10"
"BSLightingShaderProperty|Default|SPF1=2151776257|SPF2=33","10"
"BSEffectShaderProperty|Default|SPF1=3758096392|SPF2=1073741856","10"
"BSLightingShaderProperty|Default|SPF1=2151776257|SPF2=41","10"
"BSEffectShaderProperty|Default|SPF1=2684354562|SPF2=1073741825","10"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2151678611|SPF2=ZBuffer_Write","10"
"BSEffectShaderProperty|Default|SPF1=2684354672|SPF2=1073741872","10"
"BSEffectShaderProperty|Default|SPF1=2147483664|SPF2=40","10"
"BSEffectShaderProperty|Default|SPF1=2147483650|SPF2=Double_Sided","10"
"BSLightingShaderProperty|Default|SPF1=2151776257|SPF2=Vertex_Colors","9"
"BSLightingShaderProperty|Default|SPF1=2353004552|SPF2=41","9"
"BSLightingShaderProperty|Default|SPF1=2151710720|SPF2=48","9"
"BSLightingShaderProperty|GlowShader|SPF1=2151677954|SPF2=193","9"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2151678601|SPF2=129","9"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2688549505|SPF2=ZBuffer_Write","9"
"BSLightingShaderProperty|Default|SPF1=2151677971|SPF2=145","9"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2151678617|SPF2=161","9"
"BSLightingShaderProperty|Default|SPF1=2151678475|SPF2=49","9"
"BSEffectShaderProperty|Default|SPF1=2885681154|SPF2=1073741856","9"
"BSLightingShaderProperty|Default|SPF1=2353005065|SPF2=134217769","9"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2353005185|SPF2=17","9"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2353004674|SPF2=17","9"
"BSEffectShaderProperty|Default|SPF1=2147483848|SPF2=Vertex_Colors","9"
"BSEffectShaderProperty|Default|SPF1=3758096432|SPF2=1073741872","9"
"BSEffectShaderProperty|Default|SPF1=2684354754|SPF2=1073741840","9"
"BSLightingShaderProperty|Default|SPF1=2151678465|SPF2=2097153","8"
"BSEffectShaderProperty|Default|SPF1=2147483776|SPF2=ZBuffer_Write","8"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2353004681|SPF2=33","8"
"BSEffectShaderProperty|Default|SPF1=2684354752|SPF2=1073741968","8"
